feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF,MIMO — XGB Dense,OL — LGBM-SS Daily,avg
y_lag19,Price lag (intraday dense),0.0,0.0,0.0,0.009546370967741937,0.0,0.0404281106737499,0.0,0.007139211663070262
dow_sin,Calendar / Time,0.0002385838992707613,0.002227038814231063,0.0014315965457874188,0.016496639784946237,0.01504075390577438,0.005539192345916511,0.008697082951366852,0.007095841178184746
y_lag17,Price lag (intraday dense),0.0,0.0,0.0,0.009512096774193549,0.0,0.039857270826460144,0.0,0.007052766800093384
gen_solar_lag1,Solar gen lag,0.0013335348363436317,0.007623577543114225,0.0034032064591204853,0.00703225806451613,0.0042747825109677225,0.0012396800843340907,0.024422349152622053,0.007047055521574047
y_lag15,Price lag (intraday dense),0.0,0.0,0.0,0.009616263440860216,0.0,0.03787692054404862,0.0,0.006784740569272691
y_lag22,Price lag (intraday dense),0.0,0.0,0.0,0.008752688172043012,0.0,0.03625539499520609,0.0,0.006429726166749872
gen_wind_lag168,Wind gen lag,4.509980663956969e-05,0.00020628315695068742,0.00011584221868930972,0.030862231182795703,0.00046698721117454224,0.000504869747890614,0.01277139208173691,0.00642467220083962
gen_wind_lag24,Wind gen lag,5.697687319870713e-05,0.00028351388100272097,0.00014283374118884503,0.028087365591397854,0.00041945481061827746,0.0007380190695266282,0.013507901809149958,0.006176580825154714
w_gr_mean_temperature_2m,Other,0.0007787099377791121,0.0077513842776554,0.0018944761561029517,0.011437500000000001,0.0016199028187650604,0.002382977595366,0.01675951390357991,0.006089209241321205
gen_wind_lag48,Wind gen lag,5.919029420153072e-05,0.0002337569905815206,0.00012785270612765304,0.02891397849462366,0.0004629634288094912,0.0005705568889359566,0.012050552774056053,0.00605983593961941
y_lag20,Price lag (intraday dense),0.0,0.0,0.0,0.009315188172043012,0.0,0.03255456344702546,0.0,0.005981393088438354
y_lag21,Price lag (intraday dense),0.0,0.0,0.0,0.008560483870967743,0.0,0.032956968209051606,0.0,0.005931064582859907
dow_cos,Calendar / Time,8.84967509302901e-05,0.0009381298674176943,0.0005018554559126173,0.009875672043010753,0.007133535476894604,0.014065714755083473,0.007756857767435301,0.005765751730954962
y_lag16,Price lag (intraday dense),0.0,0.0,0.0,0.009464381720430109,0.0,0.030740403740643567,0.0,0.005743540780153382
y_lag4,Price lag (intraday dense),0.0,0.0,0.0,0.009605510752688173,0.0,0.030143551492368498,0.0,0.005678437463579524
y_lag13,Price lag (intraday dense),0.0,0.0,0.0,0.008889112903225808,0.0,0.029636810043792004,0.0,0.005503703278145402
residual_load_lag24,Residual load lag,6.661999801724542e-05,0.011859188001766193,0.00017869106802883856,0.011732526881720431,0.0005464691786723307,0.0010985404642500848,0.013029954007318085,0.005501712799967601
y_lag18,Price lag (intraday dense),0.0,0.0,0.0,0.00918212365591398,0.0,0.028716425250808853,0.0,0.005414078415246119
y_lag5,Price lag (intraday dense),0.0,0.0,0.0,0.009421370967741937,0.0,0.028238626288345583,0.0,0.005379999608012503
residual_load_lag12,Residual load lag,0.0005673518319197202,0.0027003490013353714,0.0007849864524246243,0.015952956989247313,0.0007727489064560394,0.0007314255567151103,0.015803618299916163,0.005330491005430621
y_lag8,Price lag (intraday dense),0.0,0.0,0.0,0.008856182795698926,0.0,0.02832200787498507,0.0,0.0053111700958119994
gen_solar_lag24,Solar gen lag,0.0011278035197177668,0.005554539393924788,0.003761432431548564,0.005807795698924732,0.0028644390190292043,0.0012914427917593838,0.01658713928652579,0.005284941734490033
y_lag23,Price lag (intraday dense),0.0,0.0,0.0,0.008020833333333335,0.0,0.028505647052308524,0.0,0.0052180686265202655
y_lag11,Price lag (intraday dense),0.0,0.0,0.0,0.00883736559139785,0.0,0.02745804640165433,0.0,0.0051850588561503114
y_lag7,Price lag (intraday dense),0.0,0.0,0.0,0.009020833333333334,0.0,0.025365339179776878,0.0,0.004912310359015745
w_larissa_temperature_2m,Other,0.00024902005962949207,0.005673918031830685,0.0008786108456890481,0.011944220430107528,0.0011828992941173096,0.0016422715571340002,0.012285609070038941,0.004836649898363858
residual_load_lag48,Residual load lag,5.434244478641119e-05,0.008215331523530767,0.00019858404334462788,0.012081317204301075,0.0004996962417921181,0.0006762380778667313,0.011055481121061828,0.004682998665240508
